Title,Abstract,Methods,Data source,Conclusion
"THE LONG AND WINDING ROAD TO EFFECTIVE COPYRIGHT PROTECTION IN CHINA

","In November 2020, China adopted the Third Amendment to the Copyright Law, providing a major overhaul of its copyright regime. This Amendment entered into effect on June 1, 2021. The last time the regime was completely revamped was in October 2001, when the Copyright Law was amended two months before China joined the World Trade Organization. While U.S. policymakers and industry groups have had mixed reactions to the recent Amendment, the new law presents an opportunity to take stock of the progress China has made in the copyright reform process. This Article begins by mapping the long and winding road to effective copyright protection in China, especially in relation to U.S. rights holders. It then focuses on the recent Amendment, highlighting five sets of upgrades or changes while offering some overarching observations. The Article concludes by identifying five road tips to help copyright holders accelerate the trip toward their destination of effective copyright protection.",Legal analysis,,"In June 2021, the Third Amendment to the Chinese Copyright Law entered into effect, ushering in stronger protection for copyrighted works--domestic and foreign alike. Although copyright holders, especially those from the United States and other overseas markets, have been traveling on a long and winding road in China for more than three decades, they are now closer to their destination of effective copyright protection than they were the last time the Chinese copyright regime was completely revamped. Yet, that road remains fraught with roadblocks and surprises.
To enable copyright holders to accelerate the trip toward their final destination, this Article offers five helpful road tips. While these tips were developed with the long and winding road in China in mind, many--and likely all--of them are useful for similar road trips in other parts of the world. Improving protection for authors and artists requires not only legal upgrades but also a holistic understanding and appreciation of the entire copyright ecosystem. The sooner copyright holders and their supportive policymakers and commentators can develop such an understanding and the needed appreciation, the quicker these right holders can reach their destination of effective copyright protection in China."
"COURTS AS MONITORING AGENTS: THE CASE OF CHINA

","This paper shows that courts are not only a crucial part of the rule of law in the conventional sense, but that they can also serve an important function in revealing information to the central government about the performance of lower level governments. When courts function in this informative way, the central government is able to improve the performance of lower level governments. After developing a general argument in that vein, the recent reforms to the Chinese court system are partially interpreted as an attempt to make the courts monitoring agents for the central government. Based on primary data from more than 1000 Chinese local courts, the argument is tested empirically and its hypotheses are largely confirmed.",Dataset analysis (regression),"multiple sources, unbalanced dataset drawn from 1264 BPCs and covering the period 2011-2017","This study investigates the role of courts in monitoring the behavior of local government in China among other channels. In authoritarian states, government faces the problem of establishing a reliable channel for gathering information on the behavior of local governments. We argue that courts that are independent from local governments can provide information about the performance of local government. The mere knowledge that their performance is monitored in such a way is likely to lead to better governance by local governments. Private parties bring individual cases against public servants to the court, and such cases offer the central government necessary information on whether local governments are behaving wrongfully. Yet, even when performing the role of third-party monitor, courts encounter severe obstacles. A major obstacle to independence is the external interference from local administrative organs. The legal reforms implemented several years ago aimed at removing that obstacle by introducing the RSCD system. This system gave courts the role of passively accepting cases and centralized the management of court personnel and court budget to the province level. Both RSCD and Management Reform significantly reduced interference of local administrative organs into both court proceedings and decisions. Our empirical results show that after the implementation of the reform, the number of administrative cases filed and resolved increased significantly, and although fewer plaintiffs choose to withdraw, the winning rate remains virtually unchanged.
There are, of course, certain issues that need to be dealt with before courts can optimally function as information providers. For example, although the implementation of the RSCD greatly alleviates the difficulties in getting administrative cases filed, these difficulties are unlikely to be removed entirely. Courts still have the chance to get involved through “procedural review”. In addition, courts cannot guarantee that their judgements are fully enforced, and a mechanism is needed to protect plaintiffs from any form of retaliation. The current legal reform only frees courts from local governments' intervention, but they are now more vulnerable to intervention from higher level governments."
"THE INTERNET ECHO CHAMBER AND THE MISINFORMATION OF JUDGES: THE CASE OF JUDGES' PERCEPTION OF PUBLIC SUPPORT FOR THE DEATH PENALTY IN CHINA

","In authoritarian regimes, without voting as a channel to gather public preferences, online public expression may become a major type of public opinion the government collects. However, online information can be biased and thereby mislead decision-makers. Combining data from a survey of judges and a national population survey, this article provides evidence that i) Chinese judges rely on online public opinion to infer public attitudes toward the death penalty, ii) online information is biased--online opinion is more punitive than the general public opinion, and, iii) biased online information seems to have a strong influence on judges' perception of strong public support for the death penalty, and this may explain why Chinese scholars, lawyers, and other practitioners have persistently overestimated public punitiveness. The findings reveal a less discussed peril of the internet echo chamber: its misleading effect on the information collection process of the government, especially in autocracies.",Dataset analysis (regression),"Author survey, “Judicial Decisions and Public Attitudes”; China Family Panel Studies (CFPS)","The analysis of public punitiveness in China identifies a different type of internet echo chamber than before. The absence of democratic institutions such as voting and polling facilitates the creation of this echo chamber. The problems mentioned above could be greatly reduced if better information channels such voting and polling were available, so that representative views of the public could be collected and information bias online could be corrected. In autocracies, however, elections and voting are usually a sham and opinion polling is often heavily regulated, rendering it difficult, if not impossible, to gather precise information on public attitudes. In fact, very few firms conduct general public opinion polls in China, and because of the general political and regulatory environment, these firms never touch upon politically sensitive topics, such as the death penalty.
As noted, mainstream Chinese scholars and practitioners agree that China should limit its use of capital punishment, but they express skepticism about the possibility of abolition in the near future. They consider prevailing public support for the death penalty a major concern. Many Chinese citizens regard capital punishment as a just and deserved response to certain crimes, according to this view, and the state experiences pressure to carry out capital punishment to express the people's will. The evidence reviewed in this article suggests that the conventional wisdom is problematic. Public support for the death penalty is strong, but not as strong as is widely believed, and the majority--even among supporters of the death penalty--would accept life imprisonment without parole as a replacement for execution. Moreover, scholars have long argued that practice of the death penalty in China is based on such traditional considerations as the belief that “the killer should be killed”; they consider that these traditional conceptions remain contemporary cultural norms (Chen, 2003; Gao, 2004). However, this stereotypical assumption oversimplifies the issue. In fact, the rate of support for capital punishment in mainland China is lower than in other jurisdictions where similar East Asian cultures and values are prevalent.
It is also relevant to ask whether, for practitioners and policy makers in China, public support is a reason, or simply an excuse, to retain the death penalty. In other words, they may support the death penalty for other reasons (for example, to fight crime or maintain social stability), but they clothe their real reasons with assertions of public support for execution as a convenient justification. The sincerity of policy makers seems beyond the scope of this article, but worth separate treatment. The above survey of real judges, however, suggests that they seriously believe that public support for the death penalty is overwhelming. Recall that the judges surveyed were candid. They did not hesitate to admit that public support influenced judicial decisions in high-profile capital cases.
Even in autocracies, policy makers rely on public support in many areas to maintain the regime's legitimacy. When online opinion becomes policy makers' major source of information, perils emerge. I show this problem in the context of the public attitude toward the death penalty, a seemingly ideal domain for that demonstration, due to its moral and value-laden characteristics. We can expect that the perils of the internet echo chamber have appeared in a wide range of areas relevant to public opinion and policy making, beyond the misperception of public support for the death penalty."
"SPORTS DIPLOMACY AT ITS TIPPING POINT: CAN NBA CHINA SURVIVE A CULTURE CLASH OVER FREE SPEECH NORMS?

","This Article explores the future of sports diplomacy between the United States and China in the aftermath of this October 2019 conflict over an NBA employee's tweets about the Hong Kong protest movement. This topic is important not only to the study of freedom of speech, but also to the generalized study of political relations between the United States and China and the role that sports diplomacy plays in improving international relations between these two countries. Thus, any potential demise in collaboration between Chinese and American citizens in the realm of sports business could mark further separation, if not isolation, of these two countries within their respective spheres of influence.",Legal analysis,,
"DOES THE REVISED U.S. SOUTH CHINA SEA POLICY GO FAR ENOUGH?

",,Legal analysis,,"Regional friends and allies are looking for U.S. leadership to maintain a rules-based legal order that respects all nations' sovereignty, independence, and economic well-being. Success in this regard will depend, in part, on changing the narrative in the SCS. The United States cannot successfully execute a revised SCS strategy that continues to embrace the failed policies of previous administrations. Continued reliance on the ineffective 1995 policy is a recipe for failure and facilitates PRC hegemony over the Indo-Pacific region in the near term, and more alarming, impacts regional stability in the long term. If the United States is to preserve its position as the preeminent naval power in the region, the United States must not acquiesce in unilateral acts designed to prevent States from exploiting their natural resources, as well as restrict navigational rights and freedoms, and other lawful uses of the seas, guaranteed to all nations. Only then will other States be encouraged to support policies that counter the PRC's malign behavior and help ensure a safe, secure, prosperous, and free Indo-Pacific region for all."
"CHINA'S SANCTIONS AND RULE OF LAW: HOW TO RESPOND WHEN CHINA TARGETS LAWYERS
",,Legal analysis,,"The democratic-liberal world has faced geopolitical challenges before, but the challengers in the past, though using a wide range of tactics, seldom used sanctions.157 Sanctions that exclude an individual or a firm from a market are useless if nobody wants in that market. The USSR, the democratic-liberal world's chief competitor from 1945 to 1989, was not a market that very many individuals or firms in the free world were eager to enter.158 The USSR, therefore, did not attain strategic objectives by using sanctions *187 against individuals or firms in the free world.159 By contrast, many around the world are eager to participate in China's market.160 A PRC sanctions law that excludes a professional or commercial actor from China's market, therefore, has the potential to be an effective tool in China's international relations.161 China indeed now has begun to use sanctions.
The initial indications are that China has aimed its sanctions smartly. The recent experience with China's Essex Court sanctions suggests that the legal profession will respond quickly to a sanctions threat.162 The Essex Court sanctions were aimed at a small number of lawyers but carried an unmistakable message to the legal profession at large: cross China, and face consequences.163 The United States, United Kingdom, and like-minded countries should be concerned if China targets any industry with sanctions, but China's targeting of the legal profession should occasion particular concern.164 The legal services industry is not just another industry. In a society based on rule of law, it is vital to every aspect of society.165 To change the operating code of the legal profession the way that China seeks would be to change society in fundamental ways.166 It is China's concept of “legal warfare,” which other writers have recently addressed,167 directed against law itself.
The change that China seeks by targeting lawyers with sanctions is in service to geopolitical objectives that China's leaders openly articulate.168 Nation-states functioning on the basis of democratic-liberal principles are at odds with the “harmonious society” that China says will come to pass when China returns to its natural place as the central polity and political system of *188 the world.169 Accordingly, those principles--the operating system of rule-of-law societies--must give way to China's conception of governance if China is to achieve its aspiration in the stated way."
"THE RISE OF NON-PROFIT ORGANIZATIONS IN GLOBAL SECURITIES CLASS ACTIONS: A NEW HYBRID MODEL IN CHINA

","Developing an appropriate legal mechanism to aggregate claims in mass securities disputes has long been a key policy issue in investor protection around the globe. The lawyer-led opt-out class action regime in the United States has generated by far the most collective securities lawsuits in the world, and yet the system remains subject to much criticism. To facilitate claims while precluding a litigious legal culture like in the United States, many jurisdictions have experimented with innovative procedural rules for collective redress. In particular, the European Union has allowed non-profit organizations (NPOs) to replace the role of entrepreneurial lawyers in representing mass tort victims. Under the NPO-led opt-out regime, the opt-out rule allows parties to resolve similar disputes all at once, while the non-profit and non-distribution attributes of NPOs suppress the filing of frivolous lawsuits.
The new Chinese hybrid model, adopted in the 2020 Securities Law Amendment, entrusts a government-sanctioned NPO, the China Securities Investors Service Center (the CSISC), to represent investors in opt-out class actions and only allows lawyers to lead opt-in collective litigation. This model takes a middle ground by combining both market-driven and government-controlled mechanisms. However, in China, the distinct policy of maintaining social stability and the political embeddedness of the judiciary will likely suppress the number of securities class actions. Indeed, the first opt-out class action shows traces of political influence and control over the whole litigation process, and the close ties between the CSISC and the government also raise doubts about the potential political influences that shape enforcement decisions. Nonetheless, the new Chinese hybrid model offers a comparative law reference for jurisdictions that are reluctant to accept a litigious legal culture, but at the same time, hope to enhance private enforcement of securities law.",Legal analysis,,"This Article critically assesses the latest developments in global securities class action regimes and introduces the key features of the new Chinese hybrid model. This hybrid model exemplifies an innovative regulatory breakthrough that endeavors to integrate different legal practices from other jurisdictions into the local Chinese legal environment. The U.S. lawyer-led model is subject to much criticism, and the Chinese experience importantly points in a new direction: the NPO-led opt-out regime. Non-profit and non-distribution attributes render NPOs suitable candidates to lead class actions because they avoid conflicts of interest between lawyers and investors and the litigious legal culture resulting from the U.S. lawyer-led model. Recent reforms in the European Union's collective redress mechanism further attest to the practicability and feasibility of the NPO-led model.
Another novelty of the Chinese hybrid model is that it embraces certain aspects of the U.S. experience by allowing entrepreneurial lawyers to participate in the opt-in scheme. This model takes a middle ground by combining both market-driven and government-controlled mechanisms. However, a close examination of the judicial interpretation published by the SPC and the first opt-out class action shows traces of political influence and control over the whole securities collective redress mechanism. Indeed, the policies of maintaining social stability and avoiding confrontational litigation greatly shape the contours of the new investor-protection regime in China. While there appears to be a formal convergence in procedural rules between the United States and China, the differences in political values and legal infrastructure are determinative of the reform's outcomes. Ultimately, the new Chinese hybrid model offers an innovative comparative law reference for jurisdictions that are reluctant to accept a litigious legal culture, but at the same time, hope to enhance private enforcement of securities law."
"DEVELOPMENT OF CHINA'S TRADE SECRETS LAW IN THE US' SHADOW: NEGATIVE CONSEQUENCES FOR CHINA AND SUGGESTIONS

","China's trade secrets protections are not the result of developments in its own industry, but rather the outcomes of US--China trade negotiations. This article is a first attempt at comprehensively examining how the US has affected the development of China's trade secrets regime, primarily through its strong Special 301 process. Based on the historical development route, it is argued that every legal amendment to add stricter rules to the regime to enhance legislative protection levels in China followed US “recommendations.” Such a development path has resulted in the current trade secrets protection regime's lack of accounting for local industry's needs and interests. Evidence demonstrates that the current strict trade secrets regime in China exceeds the local industry's needs and may impede local industrial innovations. The interests of local industry are being neglected because of the substantial representation of US industrial interests in China's legal amendments. Since the US industry's interests conflict considerably with the interests of local industry, the current strict regime in China may only benefit the US industry by preserving their competitive edge at the expense of unduly impeding the development of the local industry. Meanwhile, this evolutionary path has made many local scholars take trade secrets protection for granted and put the research focus mainly on further enhancing protections, without taking a step back to examine basic theories and limiting doctrines. In light of the development route and the accompanying negative consequences, this article suggests some directions that China may move towards at the legislative, academic, and enforcement levels. The author seeks not to repudiate the benefits of the current strict Chinese rules for effectively protecting trade secrets and only suggests instituting more reasonable limiting doctrines to enable the country's trade secrets law to better serve its policy goals.",Legal analysis,,"China's trade secrets protection law is not a product of its own industry's growth, but rather the outcome of US--China trade negotiations. This article is a first attempt at comprehensively examining how the US affected the development of China's trade secrets regime, mainly through its strong Special 301 process. Highlighting the development route, it is argued that each time legal amendments added strict rules to enhance the legislative protection level, they followed US “recommendations.” Evidence demonstrates that the current strict trade secrets regime in China exceeds the local industry's needs and may impede local industrial innovation. Such interests are being neglected because of the substantial representation of the US industry's interests in China's legal amendments. Since the US industry's interests conflict considerably with the local industry's interests, the current strict regime in China may only benefit the US industry in preserving their competitive edge at the expense of unduly impeding the local industry's growth. Furthermore, this development path has also influenced many local scholars to take trade secrets protection for granted and put the research focus mainly on further enhancing protection without taking a step back to examine basic theories and limiting doctrines. In light of the development path and the accompanying negative consequences, this article has tried to provide some directions that China may move towards, in legislation and academic research and at the government levels. Any future changes in China's trade secrets protection legislation can be more spontaneous and should account more for local industry's interests, and future academic research can provide deeper theoretical discussion and more feasible recommendations."
"BETWEEN THE PREROGATIVE AND THE NORMATIVE STATES: THE EVOLVING POWER TO DETAIN IN CHINA'S POLITICAL-LEGAL SYSTEM

","This article uses Ernst Fraenkel's dual-state framework as an analytical tool to study those conflicting imperatives and constitutional tensions with a focus on the power to detain. This article makes the argument that China has emerged as a dual state with a normal state that functions increasingly with a rule-based government in inter-personal matters and a prerogative state that solidifies control in areas that are regarded as political sensitive. Overall, while the equilibrium between the normative and prerogative states has been evolving in China, it has remained stable. The Party has been able to build a relatively self-defined and self-referencing legal system to provide the certainty and order that the Chinese political economy demands while maintaining a zone of exception, expansive and continuing to evolve, for the prerogative state to safeguard authoritarian rule.",Legal analysis,,"In post-Mao China, the Party started to rebuild a legal system in a larger authoritarian context that co-existed with a resilient prerogative state. As fragile as it was, the normative state followed its own principles and operated as a different paradigm. During the following decades, the system has struggled to develop its regularity, normality, and integrity. While it may have expanded and contracted as the prerogative state ebbs and flows, the normative state has its own inherent features. For all its deficiencies, the Chinese normative state is committed to legalism with accountability and judicial oversight, which has formed rule-based pockets with varying degrees of commitment. As discussed in this article, the Party has both tolerated and encouraged the creation of a legal space in which personal freedom and individual rights in ordinary criminal matters have been gradually, decisively, and legally carved out for enhanced legal and judicial protection. This leaves a range of political matters, including national security cases, anticorruption enforcement, and cases that are pertinent to collective action, that are all broadly defined to include politically sensitive activities that challenge the Party's monopoly of political power, which remains firmly in the hands of the prerogative state.
The reform initiatives in building a normative state, as discussed in the article, were not implemented in a political vacuum. They have taken place in a Leninist Party system alongside a prerogative state that is hostile to normative challenges. The Party will not tolerate any separation of powers and independent institutions, and the prerogative state will jealously guard and maintain its territory. As Chan emphasizes, the prerogative state is in control and shapes the structure of the dual state. It determines its competency and decides on the exception. The key feature of the dual state, as Fraenkel puts it, is that “there is nothing which cannot be classified as ‘political”’ and would not be subject to the prerogative state."
"MEDICAL MALPRACTICE LIABILITY IN CHINA (MAINLAND)

","The Tort Law of China, in 2009, reaffirmed that medical malpractice liability is a sort of fault-based tort liability. This law adopted an objective standard of fault, with provisions of presumption of fault under certain circumstances. The new law also overthrew the regulation of the Supreme People's Court which required the defendant to prove the lack of causation. In malpractice of medical products and blood transfusion, the physician will assume non-fault liability.
In mainland China jurisdiction, the history of medical malpractice liability can only be traced back to the 1990s. To deal with the increased number of medical malpractice cases, the courts applied the fault-based tort liability, stipulated by the Art. 106 of the General Principles of Civil Law of 1986. In 2009, the Chinses legislator stipulated the Tort Liability Law, of which the Chap. 7 (Art. 54 to Art. 64) is Medical Malpractice Liability. After more than ten years of practice, the Tort Liability Law was codified as the Book VII of the Chinese Civil Code, passed by the 3rd session of the 13th National People's Congress on May 28th, 2020, with minor modifications. This chapter aims to outline the medical liability in the context of the new Civil Code.",Legal analysis,,
"FORMALITY, FREEDOM OF CONTRACT AND CHINA'S NEW CIVIL CODE: A LEGAL REFORM RECOMMENDATION FOR LAND SALE CONTRACTS

","In China, the freedom of contract principle includes the freedom of contractual formality that entitles claimants to choose formality in contractual matters. Accordingly, where the law mandates written form, claimants arguably lose the freedom to use other types of formality, and this is seen to contradict the freedom of contract principle.
However, this Article argues that the statutory requirement of writing does not contradict but instead safeguards freedom of contract, because writing introduces desirable attributes to protect claimants from the risks that currently exist in China's judicial system. Further, the freedom of contractual formality is well applied in China, as China's new Civil Code (enacted by its supreme legislature) respects this freedom. The Code establishes the general informality rule to allow claimants to choose formality. The Code employs a more advanced approach to recognize digital forms and increases formality freedom in e-commerce. The Code allows claimants to make pre-contractual statements and terminate contracts in any form. The Code also gives claimants the freedom to set writing as a condition for contract formation, makes notarization optional, and maximizes the possibility of upholding contracts despite mandating the requirement of writing.
This Article further proposes a legal reform recommendation that the Civil Code should mandate writing for land sale contracts. This reform could effectively eradicate the nationwide uncertainty in land contract cases, thereby protecting claimants from the *333 uncertainty and safeguarding contractual freedom, particularly given the importance of contractual remedies in land cases. This would create a fairer legal environment to advance the judicial reform that is set by China's supreme power.
This research is timely and valuable. The Code took effect recently so there is little literature about the Code or its application to formality freedom. Moreover, only the Code (the most authoritative statute in Chinese civil law matters) can and has provided all claimants across China with the ability to enjoy the freedom fully and completely.",Legal analysis,,"In China, the freedom of contract principle includes the freedom of contractual formality that entitles claimants to choose their preferred types of formality. Hence, when a written form is mandated by law, this arguably restricts the freedom of contract and the freedom of contractual formality.
This article has argued that the freedom of contractual formality is well respected in China, and the statutory requirement of written form does not contradict the freedom of contract principle. Written form is an important means to safeguard the freedom of contract because it introduces desirable attributes to protect claimants from the nationwide uncertainty in land sale contract cases and evidentiary risks in the judicial system.
In particular, China's new Civil Code respects the freedom of contractual formality. The Civil Code establishes the general informality rule, further relaxes the digital form to boost ecommerce, restricts the application of the statutory writing requirement at different contractual stages, and gives claimants the freedom to set a written form as a condition for contract formation when it is not mandated. Additionally, the Civil Code allows claimants to choose between writing and notarization, thus maximizing the possibility of upholding contracts.
This Article has also proposed a legal reform recommendation that the Civil Code should mandate written form for land sale contracts. This reform would protect claimants from the identified uncertainty and risks in land sale contract cases and thereby safeguard contractual freedom. This reform and protection are particularly necessary given the importance of contractual remedies in land cases.
This research is timely and valuable, partly because the Civil Code took effect recently, and partly because only the Civil Code-- the most authoritative statute in civil law matters that is enacted by the supreme legislature--can guarantee that all claimants across China fully enjoy the freedom of contractual formality."
"THE POLITICAL ECONOMY OF TECHNOLOGY TRANSFER RULES OF THE US-CHINA PHASE ONE TRADE AGREEMENT: COMPETITION OF GLOBAL TECHNOLOGY LEADERSHIP

","Over the past four decades, Intellectual Property (IP) has been one of the main controversies of US-China trade relations. But the current US-China trade war contains a new focus - technology transfer. This article adopts a socio-legal and economic approach to examine the current technology and trade tensions between these two countries and why China became an Information Technology (IT) powerhouse. It first provides an overview of IP and technology transfer rules under the Phase One US-China Economic and Trade Agreement (POA). It then explores different forms of forced technology transfer activities and the in-depth reasons for the US to shift its main IP concerns from IP enforcement to technology transfer. It explains why the US and China trade war is inevitable, why the current US-China IP-trade war is significantly different from previous ones, and the economic and political reasons behind the global technology leadership competition by the two countries. Finally, the author concludes that the POA and its technology transfer rules are not the ends of the game but just the start of the global technology leadership competition between the US and China.",Legal analysis,,"This article examined the political economy behind the technology transfer rules of the POA. It explored different forms of forced technology transfer activities and discussed the in-depth reasons behind the current technology and trade tensions between the US and China. It then explained why the US and China trade war is unavoidable and what economic and political reasons for the global technology leadership competition by the two countries are.
Based on the above analysis, this article concludes that the technology and trade tensions between the US and China cannot be simply resolved by any unilateral approach or POA-like unbalanced, bilateral agreements. Implementing technology transfer rules has become an essential part of the current competition of global technology leadership between the US and China. Such a competition would not be affected or weakened by the change of the US Government Administration from President Trump to President Biden.185 Similarly, China would not slow down its pace to become an IT powerhouse or miss any opportunities to catch up with the US in high technology markets.
The POA and its technology transfer rules are not the ends of the game but just the start of the global technology leadership competition between the US and China. Therefore, before seeking practical legal solutions for implementing technology transfer rules, it is imperative for future regulators from the US and China to understand both political and economic dimensions behind the current trade and technology tensions between these two countries."
"TORTIOUS LIABILITY IN CHINA'S MOTORSPORTS INDUSTRY

","In 2020, the Chinese Civil Code came into effect. Article 1176 of the code offers a statutory defense for those participating in “a recreational or sports activity carrying certain risk” when they cause injury to other participants. However, the Chinese Civil Code does not specify how or to what extent Article 1176 may be relied upon as a statutory defense in assessing the tortious liability of the organizers of such recreational or sports activities. The courts in China have long sought to develop a principled approach to applying the voluntary assumption of risk defense to such organizers. This Article provides a case study to examine how Article 1176 operates in the context of motor racing activities, identifying sources of uncertainty surrounding the application of the law. By reviewing how Australian law analyses the duty and liability of event organizers, this Article also identifies the strengths of the Australian approach and how it may inform Chinese law with respect to addressing the problems associated with Article 1176. ",Legal analysis,,"Article 1176 of the Chinese Civil Code must be refined to address uncertainties regarding the assessment of organizers' liability in the context of dangerous sports activities. This Article indicates how such reform could proceed, such as by clarifying the key term “risk” as referring to the inherent risks associated with such activities. Even more importantly, the revised Article 1176 provision should clarify how the special context of activities “carrying certain risk” will affect the operation of the defense that Article 1176 provides. As proposed above, in applying Article 1176, the courts must distinguish the VAR defense under Article 1176 from the general VAR defense, due to Article 1176's focus on a specific context. The legislative intent of Article 1176 admits the possibility of allowing sports organizers to invoke Article 1176 as a complete defense for liability arising from sports accidents. Further, Australia's DRA and VAR defenses could be particularly helpful in specifying the conditions under which the VAR defense is to be invoked for the purpose of revising the statute.
Moreover, this Article posits that the provision of adequate medical support and effective rescue should be deemed part of the duty of safety protection imposed on organizers, as harm is highly likely to occur when engaging in these types of dangerous activities. Legislators should consider specifying certain irreducible core elements of the duty of safety protection. Article 1176's provisions overlap with the enforcement of organizers' duty of safety protection in numerous respects, rendering it difficult to achieve a principled approach to applying the article without a clear definition of the phrase “duty of safety protection.” *85 Legislators and courts should balance the interests of organizers and participants when determining their respective obligations and liabilities. Establishing irreducible elements would avoid the imposition of disproportionate duties and the unfair assignment of losses flowing from the materialization of risks inherently associated with the activities themselves."
"ECONOMIC CHALLENGES AND PRISON RENOVATION IN REFORM CHINA

","This article discusses the embeddedness of penal control in communist China against a broader economic structure beginning with the era of economic reform in the late 1970s till the Chinese government's decision to renovate the prison system thoroughly in 2003. It focuses readers on the institutional changes of the prison system in response to the macroeconomic changes during this period when the planned economy was transformed into a market economy. While the traditional mode of prison-enterprise combination had a period of prosperity when the economic transition was in its early stage in the 1980s, as the new economic system developed, the inherent weakness of the prison-enterprise combination and the conflicting organizational settings made the prison system incapable of competing with other business units, causing it to suffer economic difficulties since the late 1980s. In response, the Chinese government decided to terminate the combination mode and singled out the enterprise side from the prison system in 2003. These institutional changes in the prison design have unraveled the sensitivity of the traditional mode of prison-enterprise combination to the economic changes and unfolded the flexible nature of the prison-labor complex in communist China.",Legal analysis,,"As the Cultural Revolution came to an end and the era of economic reform rose in the second half of the 1970s, the tremendous shifts in the Chinese society also brought about the transformation of the prison system, particularly its economic role as a special state-owned enterprise in the macroeconomic settings. In the reform era, punitiveness was losing its importance and prisoner's labor was rather catching more attention, and this change possibly resulted from that the economic performance outweighed other concerns in the reform era. Consequently, the principle of less eligibility played an important role in the prison practice in the pre-reform era, but it has been no longer emphasized when the reform era began. As the general economic structure was redirected from the traditional planned economy to the contract-responsibility system in the late 1970s and early 1980s, prison production thus modulated itself into the same direction to address the huge loss and collapse caused by the Cultural Revolution.
Prison in the style of people's commune in the pre-reform era and prison in the style of contract-responsibility in the reform era had different fates, even though they shared the same feature of prison-enterprise combination and were both required to be self-sufficient. The former, existing in the period of planned economy, didn't encounter the challenge from the market because all business activities, including supply, transportation, marketing, and sales, were under the control of the state, and all the prisons had to do was to mobilize prisoners to produce. On the contrary, the latter had a complicated role for it afforded several business activities since the economic reform was boosted. During the first a few years after adopting the contract-responsibility system, prison enterprise did acquire some profits, but as the new economic system kept moving farther, the inherent weakness of prison enterprise in a combined form and the mutually conflicting organizational settings made itself incapable of competing with other business units, and thus it began to suffer the economic difficulties since the late 1980s.
Moreover, in the pre-reform era, the focus of prison enterprise was put on the amount of production and the other parts of the entire prison system were rather left unattended. Nevertheless, when coming into the reform age, the problems of the financial structure, prisoners' living conditions and education, and the training of prison cadres were all uncovered and came into the picture. As the state was lowering its appearance in the economic system during the process of economic reform and adjusting its control methods over the market into a more intricate manner, the program of forced job placement thus lost its economic importance and finally came to an end in 1989. Two more nuanced measures for the management of released population, “settling down” and “reeducation assistance,” were applied and gradually adapted to the marketized economic framework.
Eventually, the deep-rooted inadaptability of prison-enterprise combination to the market economy led to the prison renovation in 2003, and the separation of prison and enterprise became the task of top priority. When in the time of prison-enterprise combination, the most common organizational setting in the practice was “same staff under two titles,” where every member of prison cadres and prison officials was assigned various duties based on their duo roles in prisoner reform and prison production, and their benefits were directly connected with the profits of prison enterprise. This organizational setting performed well in the period of planned economy but was stumbling along in the reform period and eventually was replaced by the separation mode. It remains to be seen influence of this change on the entire prison system and the society, but it reveals the sensitivity of the Chinese prison system to the economic changes and presents the flexible nature of the prison-labor complex in communist China."
